world-universities copy,Name,web_pages,url_status_codes,all_urls_valid
DE,Fachhochschule Würzburg - Schweinfurt,https://www.fh-wuerzburg.de/,['ERROR: SSLError'],FALSE
DE,Fern-Fachhochschule Hamburg,https://www.fern-fh.de/,['ERROR: SSLError'],FALSE
DE,Fernuniversität Gesamthochschule Hagen,https://www.fernuni-hagen.de/,[200],TRUE
DE,Freie Kunst-Studienstätte Ottersberg,https://www.fh-ottersberg.de/,[200],TRUE
DE,Freie Universität Berlin,https://www.fu-berlin.de/,[200],TRUE
DE,Friedrich-Alexander Universität Erlangen-Nürnberg,https://www.uni-erlangen.de/,[200],TRUE
DE,Friedrich-Schiller Universität Jena,https://www.uni-jena.de/,[200],TRUE
DE,Georg-August Universität Göttingen,https://www.uni-goettingen.de/,[200],TRUE
DE,Georg-Simon-Ohm-Fachhochschule Nürnberg,https://www.fh-nuernberg.de/,['ERROR: SSLError'],FALSE
DE,Gustav-Siewerth-Akademie,https://www.siewerth-akademie.de/,[200],TRUE
DE,Hafencity Universität Hamburg,https://www.hcu-hamburg.de/,[200],TRUE
DE,Handelshochschule Leipzig,https://www.hhl.de/,[200],TRUE
DE,Heinrich-Heine Universität Düsseldorf,https://www.uni-duesseldorf.de/,[200],TRUE
DE,Hertie School of Governance,https://www.hertie-school.org/,[200],TRUE
DE,Hochschule Albstadt-Sigmaringen,https://www.hs-albsig.de/,[200],TRUE
DE,"Hochschule Anhalt (FH), Hochschule für angewandte Wissenschaften",https://www.hs-anhalt.de/,[200],TRUE
DE,Hochschule Bremen,https://www.hs-bremen.de/,[200],TRUE
DE,Hochschule Bremerhaven,https://www.hs-bremerhaven.de/,[200],TRUE
DE,Hochschule Coburg,https://www.hs-coburg.de/,[200],TRUE
DE,Hochschule Darmstadt,https://www.hs-darmstadt.de/,['ERROR: ConnectionError'],FALSE
DE,Hochschule Esslingen,https://www.hs-esslingen.de/,[200],TRUE
DE,Hochschule Fulda,https://www.hs-fulda.de/,[200],TRUE
DE,"Hochschule für Bankwirtschaft (HfB), Private Fachhochschule der Bankakademie",https://www.hfb.de/,['ERROR: ConnectionError'],FALSE
DE,Hochschule für Internationales Management,https://www.himh.de/,[200],TRUE
DE,Hochschule für Jüdische Studien Heidelberg,https://www.hjs.uni-heidelberg.de/,['ERROR: ConnectionError'],FALSE
DE,Hochschule für Philosophie München,https://www.hfph.mwn.de/,['ERROR: SSLError'],FALSE
DE,Hochschule für Politik (HFP),https://www.hfp.mhn.de/,['ERROR: ConnectionError'],FALSE
DE,Hochschule für Technik und Wirtschaft des Saarlandes,https://www.htw-saarland.de/,['ERROR: SSLError'],FALSE
DE,Hochschule für Technik und Wirtschaft Dresden (FH),https://www.htw-dresden.de/,[200],TRUE
DE,Hochschule für Technik und Wirtschaft Karlsruhe,https://www.hs-karlsruhe.de/,[200],TRUE
DE,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)",https://www.htwk-leipzig.de/,[200],TRUE
DE,"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)",https://www.hs-harz.de/,[200],TRUE
DE,Hochschule Magdeburg-Stendal (FH),https://www.hs-magdeburg.de/,[200],TRUE
DE,Hochschule Mittweida (FH),https://www.htwm.de/,['ERROR: SSLError'],FALSE
DE,Hochschule Vechta,https://www.uni-vechta.de/,[200],TRUE
DE,"Hochschule Wismar, Fachhochschule für Technik, Wirtschaft und Gestaltung",https://www.hs-wismar.de/,[200],TRUE
DE,Hochschule Zittau/Görlitz (FH),https://www.hs-zigr.de/,['ERROR: SSLError'],FALSE
DE,Humboldt Universität Berlin,https://www.hu-berlin.de/,[200],TRUE
DE,HWP - Hamburger Universität für Wirtschaft und Politik,https://www.hwp-hamburg.de/,['ERROR: ConnectionError'],FALSE
DE,International School of Management ISM Dortmund,https://www.ism-dortmund.de/,['ERROR: SSLError'],FALSE
DE,"International School of New Media, University of Lübeck",https://www.isnm.de/,['ERROR: SSLError'],FALSE
DE,International University in Germany,https://www.i-u.de/,[200],TRUE
DE,Internationale Fachhochschule Aalen,https://www.international.fh-aalen.de/,['ERROR: ConnectionError'],FALSE
DE,Internationale Fachhochschule Bad Honnef,https://www.fh-bad-honnef.de/,['ERROR: ConnectTimeout'],FALSE
DE,Internationales Hochschulinstitut Zittau,https://www.ihi-zittau.de/,[200],TRUE
DE,Jacobs University Bremen,https://www.jacobs-university.de/,[200],TRUE
DE,Johann Wolfgang Goethe Universität Frankfurt am Main,https://www.uni-frankfurt.de/,[200],TRUE
DE,Johannes-Gutenberg Universität Mainz,https://www.uni-mainz.de/,[200],TRUE
DE,Justus Liebig Universität Gießen,https://www.uni-giessen.de/,[200],TRUE
DE,Karlshochschule International University,https://www.karlshochschule.de/,[200],TRUE
DE,Katholische Fachhochschule Berlin (KFB),https://www.kfb-berlin.de/,['ERROR: SSLError'],FALSE
DE,"Katholische Fachhochschule Freiburg, Hochschule für Sozialwesen, Religionspädagogik und Pflege",https://www.kfh-Freiburg.de/,['ERROR: SSLError'],FALSE
DE,Katholische Fachhochschule Mainz,https://www.kfh-mainz.de/,[200],TRUE
DE,Katholische Fachhochschule Norddeutschland,https://www.kath-fh-nord.de/,['ERROR: ConnectionError'],FALSE
DE,Katholische Fachhochschule Nordrhein-Westfalen,https://www.kfhnw.de/,['ERROR: ConnectTimeout'],FALSE
DE,Katholische Hochschule für Soziale Arbeit Saarbrücken,https://www.khsa.de/,[200],TRUE
DE,Katholische Stiftungsfachhochschule München,https://www.ksfh.de/,['ERROR: SSLError'],FALSE
DE,Katholische Universität Eichstätt,https://www.ku-eichstaett.de/,[404],FALSE
DE,Kirchliche Hochschule Bethel,https://www.bethel.de/kiho/,[404],FALSE
DE,Kirchliche Hochschule Wuppertal,https://www.uni-wuppertal.de/inst/kiho/,[404],FALSE
DE,Kunstakademie Düsseldorf.,https://www.kunstakademie-duesseldorf.de/,[200],TRUE
DE,"Kunsthochschule Berlin-Weissensee, Hochschule für Gestaltung ",https://www.kh-berlin.de/,[200],TRUE
DE,Ludwig-Maximilians-Universität München,https://www.uni-muenchen.de/,[200],TRUE
DE,Lutherische Theologische Hochschule Oberursel,https://www.selk.de/LThH/,[404],FALSE
DE,Märkische Fachhochschule Iserlohn,https://www.mfh-iserlohn.de/,['ERROR: ConnectionError'],FALSE
DE,Martin-Luther Universität Halle-Wittenberg,https://www.uni-halle.de/,[200],TRUE
DE,Medizinische Hochschule Hannover,https://www.mh-hannover.de/,[200],TRUE
DE,Medizinische Universität Lübeck,https://www.mu-luebeck.de/,['ERROR: ConnectionError'],FALSE
DE,Merkur Internationale FH Karlsruhe,https://www.merkur-fh.org/,[200],TRUE
DE,"Merz Akademie, Hochschule für Gestaltung Stuttgart",https://www.merz-akademie.de/,[200],TRUE
DE,"Muthesius-Hochschule, Fachhochschule für Kunst und Gestaltung",https://www.muthesius.de/,['ERROR: SSLError'],FALSE
DE,"Nordakademie, Staatlich anerkannte private Fachhochschule mit dualen Studiengängen",https://www.nordakademie.de/,[200],TRUE
